DPNOM,AÑO,ÁREA GEOGRÁFICA,Población
Nacional,1950,Cabecera,5.191.533
Nacional,1950,Centros Poblados y Rural Disperso,8.379.410
Nacional,1950,Total,13.570.943
Nacional,1951,Cabecera,5.428.140
Nacional,1951,Centros Poblados y Rural Disperso,8.484.807
Nacional,1951,Total,13.912.947
Nacional,1952,Cabecera,5.548.402
Nacional,1952,Centros Poblados y Rural Disperso,8.721.390
Nacional,1952,Total,14.269.792
Nacional,1953,Cabecera,5.730.799
Nacional,1953,Centros Poblados y Rural Disperso,8.910.628
Nacional,1953,Total,14.641.427
Nacional,1954,Cabecera,5.927.863
Nacional,1954,Centros Poblados y Rural Disperso,9.100.100
Nacional,1954,Total,15.027.963
Nacional,1955,Cabecera,6.141.360
Nacional,1955,Centros Poblados y Rural Disperso,9.288.254
Nacional,1955,Total,15.429.614
Nacional,1956,Cabecera,6.373.318
Nacional,1956,Centros Poblados y Rural Disperso,9.473.251
Nacional,1956,Total,15.846.569
Nacional,1957,Cabecera,6.625.885
Nacional,1957,Centros Poblados y Rural Disperso,9.653.042
Nacional,1957,Total,16.278.927
Nacional,1958,Cabecera,6.901.250
Nacional,1958,Centros Poblados y Rural Disperso,9.825.132
Nacional,1958,Total,16.726.382
Nacional,1959,Cabecera,7.201.656
Nacional,1959,Centros Poblados y Rural Disperso,9.986.912
Nacional,1959,Total,17.188.568
Nacional,1960,Cabecera,7.529.337
Nacional,1960,Centros Poblados y Rural Disperso,10.135.700
Nacional,1960,Total,17.665.037
Nacional,1961,Cabecera,7.885.967
Nacional,1961,Centros Poblados y Rural Disperso,10.268.355
Nacional,1961,Total,18.154.322
Nacional,1962,Cabecera,8.272.662
Nacional,1962,Centros Poblados y Rural Disperso,10.381.837
Nacional,1962,Total,18.654.499
Nacional,1963,Cabecera,8.690.232
Nacional,1963,Centros Poblados y Rural Disperso,10.473.850
Nacional,1963,Total,19.164.082
Nacional,1964,Cabecera,9.138.360
Nacional,1964,Centros Poblados y Rural Disperso,10.542.510
Nacional,1964,Total,19.680.870
Nacional,1965,Cabecera,9.615.321
Nacional,1965,Centros Poblados y Rural Disperso,10.586.322
Nacional,1965,Total,20.201.643
Nacional,1966,Cabecera,10.118.420
Nacional,1966,Centros Poblados y Rural Disperso,10.605.168
Nacional,1966,Total,20.723.588
Nacional,1967,Cabecera,10.643.972
Nacional,1967,Centros Poblados y Rural Disperso,10.600.276
Nacional,1967,Total,21.244.248
Nacional,1968,Cabecera,11.187.398
Nacional,1968,Centros Poblados y Rural Disperso,10.574.292
Nacional,1968,Total,21.761.690
Nacional,1969,Cabecera,11.743.357
Nacional,1969,Centros Poblados y Rural Disperso,10.530.843
Nacional,1969,Total,22.274.200
Nacional,1970,Cabecera,12.305.768
Nacional,1970,Centros Poblados y Rural Disperso,10.474.239
Nacional,1970,Total,22.780.007
Nacional,1971,Cabecera,12.868.607
Nacional,1971,Centros Poblados y Rural Disperso,10.409.245
Nacional,1971,Total,23.277.852
Nacional,1972,Cabecera,13.426.239
Nacional,1972,Centros Poblados y Rural Disperso,10.340.891
Nacional,1972,Total,23.767.130
Nacional,1973,Cabecera,13.974.298
Nacional,1973,Centros Poblados y Rural Disperso,10.274.371
Nacional,1973,Total,24.248.669
Nacional,1974,Cabecera,14.510.095
Nacional,1974,Centros Poblados y Rural Disperso,10.214.779
Nacional,1974,Total,24.724.874
Nacional,1975,Cabecera,15.032.686
Nacional,1975,Centros Poblados y Rural Disperso,10.166.858
Nacional,1975,Total,25.199.544
Nacional,1976,Cabecera,15.542.851
Nacional,1976,Centros Poblados y Rural Disperso,10.134.735
Nacional,1976,Total,25.677.586
Nacional,1977,Cabecera,16.041.823
Nacional,1977,Centros Poblados y Rural Disperso,10.121.242
Nacional,1977,Total,26.163.065
Nacional,1978,Cabecera,16.530.805
Nacional,1978,Centros Poblados y Rural Disperso,10.127.867
Nacional,1978,Total,26.658.672
Nacional,1979,Cabecera,17.010.977
Nacional,1979,Centros Poblados y Rural Disperso,10.154.994
Nacional,1979,Total,27.165.971
Nacional,1980,Cabecera,17.482.595
Nacional,1980,Centros Poblados y Rural Disperso,10.201.790
Nacional,1980,Total,27.684.385
Nacional,1981,Cabecera,17.945.782
Nacional,1981,Centros Poblados y Rural Disperso,10.266.885
Nacional,1981,Total,28.212.667
Nacional,1982,Cabecera,18.400.243
Nacional,1982,Centros Poblados y Rural Disperso,10.348.343
Nacional,1982,Total,28.748.586
Nacional,1983,Cabecera,18.845.620
Nacional,1983,Centros Poblados y Rural Disperso,10.444.124
Nacional,1983,Total,29.289.744
Nacional,1984,Cabecera,19.287.329
Nacional,1984,Centros Poblados y Rural Disperso,10.555.362
Nacional,1984,Total,29.842.691
Nacional,1985,Cabecera,19.731.727
Nacional,1985,Centros Poblados y Rural Disperso,10.688.165
Nacional,1985,Total,30.419.892
Nacional,1986,Cabecera,20.319.830
Nacional,1986,Centros Poblados y Rural Disperso,10.660.982
Nacional,1986,Total,30.980.812
Nacional,1987,Cabecera,20.910.053
Nacional,1987,Centros Poblados y Rural Disperso,10.640.079
Nacional,1987,Total,31.550.132
Nacional,1988,Cabecera,21.502.595
Nacional,1988,Centros Poblados y Rural Disperso,10.621.578
Nacional,1988,Total,32.124.173
Nacional,1989,Cabecera,22.095.337
Nacional,1989,Centros Poblados y Rural Disperso,10.602.510
Nacional,1989,Total,32.697.847
Nacional,1990,Cabecera,22.682.285
Nacional,1990,Centros Poblados y Rural Disperso,10.585.869
Nacional,1990,Total,33.268.154
Nacional,1991,Cabecera,23.274.512
Nacional,1991,Centros Poblados y Rural Disperso,10.566.479
Nacional,1991,Total,33.840.991
Nacional,1992,Cabecera,23.874.144
Nacional,1992,Centros Poblados y Rural Disperso,10.551.771
Nacional,1992,Total,34.425.915
Nacional,1993,Cabecera,24.494.132
Nacional,1993,Centros Poblados y Rural Disperso,10.538.176
Nacional,1993,Total,35.032.308
Nacional,1994,Cabecera,25.103.075
Nacional,1994,Centros Poblados y Rural Disperso,10.526.099
Nacional,1994,Total,35.629.174
Nacional,1995,Cabecera,25.698.750
Nacional,1995,Centros Poblados y Rural Disperso,10.531.080
Nacional,1995,Total,36.229.830
Nacional,1996,Cabecera,26.301.772
Nacional,1996,Centros Poblados y Rural Disperso,10.528.802
Nacional,1996,Total,36.830.574
Nacional,1997,Cabecera,26.887.699
Nacional,1997,Centros Poblados y Rural Disperso,10.538.833
Nacional,1997,Total,37.426.532
Nacional,1998,Cabecera,27.473.357
Nacional,1998,Centros Poblados y Rural Disperso,10.539.002
Nacional,1998,Total,38.012.359
Nacional,1999,Cabecera,28.035.133
Nacional,1999,Centros Poblados y Rural Disperso,10.549.883
Nacional,1999,Total,38.585.016
Nacional,2000,Cabecera,28.574.912
Nacional,2000,Centros Poblados y Rural Disperso,10.565.168
Nacional,2000,Total,39.140.080
Nacional,2001,Cabecera,29.103.486
Nacional,2001,Centros Poblados y Rural Disperso,10.571.325
Nacional,2001,Total,39.674.811
Nacional,2002,Cabecera,29.577.942
Nacional,2002,Centros Poblados y Rural Disperso,10.612.737
Nacional,2002,Total,40.190.679
Nacional,2003,Cabecera,30.030.878
Nacional,2003,Centros Poblados y Rural Disperso,10.662.376
Nacional,2003,Total,40.693.254
Nacional,2004,Cabecera,30.470.411
Nacional,2004,Centros Poblados y Rural Disperso,10.717.682
Nacional,2004,Total,41.188.093
Nacional,2005,Cabecera,30.900.481
Nacional,2005,Centros Poblados y Rural Disperso,10.771.397
Nacional,2005,Total,41.671.878
Nacional,2006,Cabecera,31.336.638
Nacional,2006,Centros Poblados y Rural Disperso,10.833.488
Nacional,2006,Total,42.170.126
Nacional,2007,Cabecera,31.762.026
Nacional,2007,Centros Poblados y Rural Disperso,10.896.604
Nacional,2007,Total,42.658.630
Nacional,2008,Cabecera,32.177.926
Nacional,2008,Centros Poblados y Rural Disperso,10.956.091
Nacional,2008,Total,43.134.017
Nacional,2009,Cabecera,32.591.440
Nacional,2009,Centros Poblados y Rural Disperso,11.017.190
Nacional,2009,Total,43.608.630
Nacional,2010,Cabecera,32.997.985
Nacional,2010,Centros Poblados y Rural Disperso,11.088.307
Nacional,2010,Total,44.086.292
Nacional,2011,Cabecera,33.392.587
Nacional,2011,Centros Poblados y Rural Disperso,11.160.829
Nacional,2011,Total,44.553.416
Nacional,2012,Cabecera,33.768.637
Nacional,2012,Centros Poblados y Rural Disperso,11.232.934
Nacional,2012,Total,45.001.571
Nacional,2013,Cabecera,34.129.735
Nacional,2013,Centros Poblados y Rural Disperso,11.305.207
Nacional,2013,Total,45.434.942
Nacional,2014,Cabecera,34.486.232
Nacional,2014,Centros Poblados y Rural Disperso,11.379.778
Nacional,2014,Total,45.866.010
Nacional,2015,Cabecera,34.853.590
Nacional,2015,Centros Poblados y Rural Disperso,11.460.308
Nacional,2015,Total,46.313.898
Nacional,2016,Cabecera,35.273.507
