TERRITORIO,AÑO,ÁREA GEOGRÁFICA,TOTAL
Total Nacional,2018,Cabecera,36.414.521
Total Nacional,2018,Centros Poblados y Rural Disperso,11.843.973
Total Nacional,2018,Total,48.258.494
Total Nacional,2019,Cabecera,37.219.289
Total Nacional,2019,Centros Poblados y Rural Disperso,12.047.237
Total Nacional,2019,Total,49.266.526
Total Nacional,2020,Cabecera,38.130.362
Total Nacional,2020,Centros Poblados y Rural Disperso,12.260.428
Total Nacional,2020,Total,50.390.790
Total Nacional,2021,Cabecera,38.710.371
Total Nacional,2021,Centros Poblados y Rural Disperso,12.405.266
Total Nacional,2021,Total,51.115.637
Total Nacional,2022,Cabecera,39.130.235
Total Nacional,2022,Centros Poblados y Rural Disperso,12.513.330
Total Nacional,2022,Total,51.643.565
Total Nacional,2023,Cabecera,39.507.801
Total Nacional,2023,Centros Poblados y Rural Disperso,12.609.266
Total Nacional,2023,Total,52.117.067
Total Nacional,2024,Cabecera,39.903.699
Total Nacional,2024,Centros Poblados y Rural Disperso,12.710.054
Total Nacional,2024,Total,52.613.753
Total Nacional,2025,Cabecera,40.257.670
Total Nacional,2025,Centros Poblados y Rural Disperso,12.799.542
Total Nacional,2025,Total,53.057.212
Total Nacional,2026,Cabecera,40.529.928
Total Nacional,2026,Centros Poblados y Rural Disperso,12.869.243
Total Nacional,2026,Total,53.399.171
Total Nacional,2027,Cabecera,40.780.305
Total Nacional,2027,Centros Poblados y Rural Disperso,12.931.928
Total Nacional,2027,Total,53.712.233
Total Nacional,2028,Cabecera,41.013.047
Total Nacional,2028,Centros Poblados y Rural Disperso,12.988.455
Total Nacional,2028,Total,54.001.502
Total Nacional,2029,Cabecera,41.230.152
Total Nacional,2029,Centros Poblados y Rural Disperso,13.039.254
Total Nacional,2029,Total,54.269.406
Total Nacional,2030,Cabecera,41.433.450
Total Nacional,2030,Centros Poblados y Rural Disperso,13.084.773
Total Nacional,2030,Total,54.518.223
Total Nacional,2031,Cabecera,41.622.803
Total Nacional,2031,Centros Poblados y Rural Disperso,13.125.015
Total Nacional,2031,Total,54.747.818
Total Nacional,2032,Cabecera,41.798.254
Total Nacional,2032,Centros Poblados y Rural Disperso,13.160.129
Total Nacional,2032,Total,54.958.383
Total Nacional,2033,Cabecera,41.959.831
Total Nacional,2033,Centros Poblados y Rural Disperso,13.190.157
Total Nacional,2033,Total,55.149.988
Total Nacional,2034,Cabecera,42.107.416
Total Nacional,2034,Centros Poblados y Rural Disperso,13.215.258
Total Nacional,2034,Total,55.322.674
Total Nacional,2035,Cabecera,42.240.962
Total Nacional,2035,Centros Poblados y Rural Disperso,13.235.542
Total Nacional,2035,Total,55.476.504
Total Nacional,2036,Cabecera,42.360.507
Total Nacional,2036,Centros Poblados y Rural Disperso,13.251.071
Total Nacional,2036,Total,55.611.578
Total Nacional,2037,Cabecera,42.465.960
Total Nacional,2037,Centros Poblados y Rural Disperso,13.262.082
Total Nacional,2037,Total,55.728.042
Total Nacional,2038,Cabecera,42.557.411
Total Nacional,2038,Centros Poblados y Rural Disperso,13.268.668
Total Nacional,2038,Total,55.826.079
Total Nacional,2039,Cabecera,42.634.922
Total Nacional,2039,Centros Poblados y Rural Disperso,13.270.974
Total Nacional,2039,Total,55.905.896
Total Nacional,2040,Cabecera,42.698.613
Total Nacional,2040,Centros Poblados y Rural Disperso,13.269.149
Total Nacional,2040,Total,55.967.762
Total Nacional,2041,Cabecera,42.748.598
Total Nacional,2041,Centros Poblados y Rural Disperso,13.263.326
Total Nacional,2041,Total,56.011.924
Total Nacional,2042,Cabecera,42.785.014
Total Nacional,2042,Centros Poblados y Rural Disperso,13.253.637
Total Nacional,2042,Total,56.038.651
Total Nacional,2043,Cabecera,42.807.985
Total Nacional,2043,Centros Poblados y Rural Disperso,13.240.209
Total Nacional,2043,Total,56.048.194
Total Nacional,2044,Cabecera,42.817.638
Total Nacional,2044,Centros Poblados y Rural Disperso,13.223.148
Total Nacional,2044,Total,56.040.786
Total Nacional,2045,Cabecera,42.814.104
Total Nacional,2045,Centros Poblados y Rural Disperso,13.202.558
Total Nacional,2045,Total,56.016.662
Total Nacional,2046,Cabecera,42.797.516
Total Nacional,2046,Centros Poblados y Rural Disperso,13.178.529
Total Nacional,2046,Total,55.976.045
Total Nacional,2047,Cabecera,42.768.019
Total Nacional,2047,Centros Poblados y Rural Disperso,13.151.160
Total Nacional,2047,Total,55.919.179
Total Nacional,2048,Cabecera,42.767.058
Total Nacional,2048,Centros Poblados y Rural Disperso,13.079.240
Total Nacional,2048,Total,55.846.298
Total Nacional,2049,Cabecera,42.712.853
Total Nacional,2049,Centros Poblados y Rural Disperso,13.044.804
Total Nacional,2049,Total,55.757.657
Total Nacional,2050,Cabecera,42.646.221
Total Nacional,2050,Centros Poblados y Rural Disperso,13.007.269
Total Nacional,2050,Total,55.653.490
Total Nacional,2051,Total,55.534.043
Total Nacional,2052,Total,55.399.539
Total Nacional,2053,Total,55.250.202
Total Nacional,2054,Total,55.086.260
Total Nacional,2055,Total,54.907.921
Total Nacional,2056,Total,54.715.374
Total Nacional,2057,Total,54.508.782
Total Nacional,2058,Total,54.288.293
Total Nacional,2059,Total,54.054.043
Total Nacional,2060,Total,53.806.118
Total Nacional,2061,Total,53.544.613
Total Nacional,2062,Total,53.269.610
Total Nacional,2063,Total,52.981.169
Total Nacional,2064,Total,52.679.381
Total Nacional,2065,Total,52.364.311
Total Nacional,2066,Total,52.036.013
Total Nacional,2067,Total,51.694.579
Total Nacional,2068,Total,51.340.058
Total Nacional,2069,Total,50.972.537
Total Nacional,2070,Total,50.592.097
,,,
"Fuente: DANE, Proyecciones de población - Dirección técnica de Censos y Demografía (DCD)",,,
"Nota: Desde el 1 de diciembre de 2019 comenzó a regir la Ordenanza 248 de 2019 de la Asamblea Departamental de Guainía que crea el municipio de Barrancominas, conformado por las áreas no municipalizadas de Barrancominas y Mapiripana. ",,,
"Nota:  A partir del decreto 0284 del 26 de diciembre de 2023 y de la Ordenanza No. 180 del 27 de junio de 2023, por la cual se crea el municipio de Nuevo Belén de Bajirá, segregado del municipio de Riosucio, el Departamento Administrativo Nacional de Estadística -DANE- ha incorporado el nuevo municipio a la DIVIPOLA; una vez el Instituto Geográfico Agustín Codazzi – IGAC culmine el proceso de deslinde respectivo y elabore la cartografía oficial con esta nueva entidad territorial, el DANE procederá con la actualización del Marco Geoestadístico Nacional y las actualizaciones cartográficas a que haya lugar, con el propósito de ajustar la certificación de población indígena en los resguardos del municipio en mención.
",,,
Actualizado el 18 de Julio de 2025,,,
